app_id,L3_Tot_Pl_Sz_C2S,L3_Tot_Pl_Sz_S2C,L4_Tot_Pl_Sz_C2S,L4_Tot_Pl_Sz_S2C,L3_Avg_Dtg_Sz_C2S,L3_Avg_Dtg_Sz_S2C,L4_Avg_Pl_Sz_C2S,L4_Avg_Pl_Sz_S2C,L3_Std_Tot_Sz_C2S,L3_Std_Tot_Sz_S2C,L4_Std_Pl_Sz_C2S,L4_Std_Pl_Sz_S2C,L3_Avg_Pac4Msg_C2S,L3_Avg_Pac4Msg_S2C,L3_Efficiency_C2S,L3_Efficiency_S2C,L3_Tot_Dtg_Sz_CS_ratio,L4_Tot_Pl_Sz_CS_ratio,L3_Tot_Dtg_Cnt_CS_ratio,L3_Tot_Dtg_Cnt_C2S,L3_Tot_Dtg_Cnt_S2C
17,1413,15734,1153,15486,117.75,1311.1666666666667,96.08333333333331,1290.5,163.43924364618297,1970.900524833224,164.40330583567038,1971.3753159567648,2.0,2.0,0.8159943382873319,0.9842379560188128,0.0898055167153934,0.0744543458607774,1.0,6,6
17,1753,23925,1353,23557,92.26315789473684,1329.1666666666667,71.21052631578948,1308.7222222222224,140.73688693810604,1605.8424671840523,141.22345530217487,1606.2248324622242,1.7272727272727273,1.8,0.7718197375926983,0.9846185997910136,0.0732706374085684,0.0574351572780914,1.1,11,10
17,2842,873,2662,725,355.25,124.71428571428572,332.75,103.57142857142856,718.2106237031029,213.9865371822212,719.4983867747228,214.6096123529552,1.6,1.4,0.936664320900774,0.8304696449026346,3.255441008018328,3.6717241379310335,1.0,5,5
17,1224,36685,864,36277,72.0,1834.25,50.82352941176471,1813.85,134.71915231324758,1428.2708675362078,135.10284753388692,1428.8043685838204,1.4166666666666667,1.818181818181818,0.7058823529411765,0.988878288128663,0.0333651356140111,0.0238167433911293,1.0909090909090908,12,11
17,3283,3564,3003,3316,252.5384615384616,297.0,231.0,276.3333333333333,499.3011141226329,727.68799507881,500.0408316661084,727.9604551364203,1.8571428571428568,2.0,0.9147121535181236,0.9304152637485972,0.921156004489338,0.9056091676718938,1.1666666666666667,7,6
17,922,6062,682,5834,83.81818181818181,551.0909090909091,62.0,530.3636363636364,118.2461992470102,927.8312836443332,119.13773541577832,928.2853303513172,1.8333333333333333,1.8333333333333333,0.7396963123644251,0.9623886506103596,0.1520950181458264,0.1169009256085018,1.0,6,6
17,1535,3182,1295,2974,139.54545454545453,318.2,117.72727272727272,297.4,277.4247154225318,525.2455087332442,278.2067903229865,525.7424802653438,1.5714285714285714,1.6666666666666667,0.8436482084690554,0.93463230672533,0.4824010056568196,0.4354404841963685,1.1666666666666667,7,6
17,1194,93898,834,93350,70.23529411764707,3477.7037037037044,49.05882352941178,3457.4074074074074,95.30774457760808,3554.892487986044,95.826321141581,3555.191396549118,1.2142857142857142,1.9285714285714288,0.6984924623115578,0.9941638799548446,0.0127159257918166,0.0089341189073379,1.0,14,14
17,1114,12106,854,11918,92.83333333333331,1345.111111111111,71.16666666666667,1324.2222222222224,155.94278282482816,2714.402164586359,156.66399095071608,2714.888661519003,1.7142857142857142,1.5,0.7666068222621185,0.9844705104906658,0.0920204857095655,0.0716563181741903,1.1666666666666667,7,6
17,1484,79893,864,79305,49.46666666666667,2754.9310344827586,28.8,2734.655172413793,103.44204885473016,2555.667873724631,103.56953353116,2555.973148135588,1.3636363636363635,1.380952380952381,0.5822102425876011,0.9926401562089294,0.0185748438536542,0.0108946472479667,1.0476190476190477,22,21
17,1045,4280,785,4072,87.08333333333331,428.0,65.41666666666667,407.2,134.33841820589004,733.2005940471619,135.09757977331074,733.6897315774713,1.7142857142857142,1.6666666666666667,0.7511961722488039,0.9514018691588784,0.2441588785046729,0.1927799607072692,1.1666666666666667,7,6
